DATE,PMI
2012M01,50
2012M02,49.4
2012M03,49.1
2012M04,49.5
2012M05,49.4
2012M06,48.5
2012M07,48.3
2012M08,47.9
2012M09,48.4
2012M10,48.7
2012M11,49.5
2012M12,50.1
2013M01,50.1
2013M02,48.3
2013M03,50.8
2013M04,51
2013M05,48.8
2013M06,46.4
2013M07,48.5
2013M08,49.4
2013M09,51.5
2013M10,51.5
2013M11,50.3
2013M12,51.8
2014M01,52.1
2014M02,51
2014M03,51.3
2014M04,53.1
2014M05,52.5
2014M06,52.3
2014M07,51.7
2014M08,50.3
2014M09,51.7
2014M10,51
2014M11,52.1
2014M12,52.7
2015M01,51.5
2015M02,51.7
2015M03,50.7
2015M04,53.5
2015M05,54.8
2015M06,52.2
2015M07,52.6
2015M08,51.3
2015M09,49.5
2015M10,50.1
2015M11,49.4
2015M12,51.3
2016M01,51.5
2016M02,50.3
2016M03,50.7
2016M04,52.3
2016M05,52.7
2016M06,52.6
2016M07,51.9
2016M08,52.2
2016M09,52.9
2016M10,51.7
2016M11,54
2016M12,52.4
2017M01,51.9
2017M02,54.2
2017M03,54.6
2017M04,54.1
2017M05,51.6
2017M06,52.5
2017M07,51.7
2017M08,51.8
2017M09,53.3
2017M10,51.6
2017M11,51.4
2017M12,52.5
2018M01,53.4
2018M02,53.5
2018M03,51.6
2018M04,52.7
2018M05,53.9
2018M06,55.7
2018M07,54.9
2018M08,53.7
2018M09,51.5
2018M10,53.9
2018M11,56.5
2018M12,53.9
2019M01,51.9
2019M02,51.2
2019M03,51.9
2019M04,52.5
2019M05,52
2019M06,52.5
2019M07,52.6
2019M08,51.4
2019M09,50.5
2019M10,50
2019M11,51
2019M12,50.8
2020M01,50.6
2020M02,49
2020M03,41.9
2020M04,32.7
2020M05,42.7
2020M06,51.5
2020M07,47.6
2020M08,45.7
2020M09,52.2
2020M10,51.8
2020M11,49.9
2020M12,51.7
2021M01,51.30
2021M02,51.60
2021M03,53.60
2021M04,54.70
2021M05,53.10
2021M06,44.10
2021M07,45.10
2021M08,40.20
2021M09,40.20
2021M10,52.10
2021M11,52.20
2021M12,52.50
2022M01,53.70
2022M02,54.30
2022M03,51.70
2022M04,51.70
2022M05,54.70
2022M06,54.00
2022M07,51.20
2022M08,52.70
2022M09,52.50
2022M10,50.60
2022M11,47.40
2022M12,46.40
2023M01,47.40
2023M02,51.20
2023M03,47.70
2023M04,46.70
2023M05,45.30
2023M06,46.20
2023M07,48.70
2023M08,50.50
2023M09,49.70
2023M10,49.60
2023M11,47.30
2023M12,48.90
2024M01,50.30
2024M02,50.40
2024M03,49.90
2024M04,50.30
2024M05,50.30
2024M06,54.70
2024M07,54.70
2024M08,52.40
2024M09,47.30
2024M10,51.20
2024M11,50.80
2024M12,49.80
2025M01,48.90
2025M02,49.20
2025M03,50.50
2025M04,45.60
2025M05,49.80
2025M06,48.90
2025M07,52.40
2025M08,50.40
2025M09,50.40
2025M10,54.50
2025M11,53.80
2025M12,53.00
2026M01,52.50
2026M02,54.30