,GDP_U,GDP
comment,Real GDP of Vietnam in constant prices base=2010 Source: GSO,seasonal adjusted series
2010Q1,672271,678543.757
2010Q2,667254,681579.087
2010Q3,696133,689482.011
2010Q4,704185,689701.241
2011Q1,712371,719477.554
2011Q2,708906,724137.417
2011Q3,740465,733128.668
2011Q4,753813,737729.477
2012Q1,747557,756115.067
2012Q2,748338,764563.183
2012Q3,781177,772924.079
2012Q4,798971,780315.757
2013Q1,782562,794008.14
2013Q2,788644,805874.739
2013Q3,825747,816384.473
2013Q4,849918,826982.061
2014Q1,825907,842161.301
2014Q2,837448,855941.323
2014Q3,880145,869338.696
2014Q4,911893,882696.025
2015Q1,877492,900747.916
2015Q2,896977,916974.326
2015Q3,943183,930526.161
2015Q4,979173,942086.121
2016Q1,925692,957324.835
2016Q2,957479,979475.883
2016Q3,1008410,993529.51
2016Q4,1052562,1006346.94
2017Q1,973548,1013648.88
2017Q2,1021258,1046679.37
2017Q3,1084419,1067142.83
2017Q4,1138650,1081345.83
2018Q1,1049315,1098822.33
2018Q2,1093745,1124117.8
2018Q3,1162451,1143443.75
2018Q4,1227228,1157802.55
2019Q1,1123660,1181710.82
2019Q2,1172041,1206530.8
2019Q3,1251064,1233946.38
2019Q4,1319551,1236298.46
2020Q1,1159773,1223715.63
2020Q2,1175981,1209583.9
2020Q3,1288550,1278564.14
2020Q4,1381452,1285078.13
2021Q1,1215966,1287485.81
2021Q2,1253057,1284008.15
2021Q3,1210850,1211829.25
2021Q4,1453716,1341396.88
2022Q1,1281832,1363755.97
2022Q2,1360332,1389255.22
2022Q3,1385022,1394784.19
2022Q4,1544683,1414024.98
2023Q1,1326130,1420961.57
2023Q2,1419323,1445650.97
2023Q3,1459493,1473827.32
2023Q4,1649139,1500926.23
2024Q1,1405456,1515441.22
2024Q2,1522179,1548897.81
2024Q3,1567923,1583006.32
2024Q4,1773652,1609607.5
2025Q1,1502807,1626880.3
2025Q2,1646867,1674679.87
2025Q3,1696892,1712355.23
2025Q4,1923702.959,1744800.63