"Variables ->","GDP_U","CPI_U","S","RS","GDP_RW","CPI_RW","RS_RW","D4L_CPI_TAR","GDP_RW_BAR","DUMMY","GDP","CPI","L_CPI","L_CPI_RW","L_CPI_U","L_DUMMY","L_GDP","L_GDP_RW","L_GDP_RW_BAR","L_GDP_U","L_S","L_Z","DLA_CPI","DLA_CPI_RW","DLA_CPI_U","DLA_DUMMY","DLA_GDP","DLA_GDP_RW","DLA_GDP_RW_BAR","DLA_GDP_U","DLA_S","DLA_Z","D4L_CPI","D4L_CPI_RW","D4L_CPI_U","D4L_DUMMY","D4L_GDP","D4L_GDP_RW","D4L_GDP_RW_BAR","D4L_GDP_U","D4L_S","D4L_Z","RR","RR_RW","RR_BAR","RR_GAP","L_Z_BAR","L_Z_GAP","RR_RW_BAR","RR_RW_GAP","DLA_Z_BAR","L_GDP_GAP","L_GDP_BAR","DLA_GDP_BAR","L_GDP_RW_GAP"
"2020Q3",1.28855000e+06,1.68660000e+02,2.32130000e+04,2.04692308e+00,2.05588790e+04,2.59222000e+02,1.10000000e-01,4.00000000e+00,2.10717626e+04,1.00000000e+00,1.27856414e+06,1.68730325e+02,5.12830173e+02,5.55768484e+02,5.12788485e+02,0.00000000e+00,1.40612482e+03,9.93104819e+02,9.95568916e+02,1.40690281e+03,1.00524677e+03,1.04818509e+03,3.55858290e+00,4.54696718e+00,3.66909476e+00,0.00000000e+00,2.21845076e+01,2.99029985e+01,1.92836556e+00,3.65659449e+01,-2.92832087e-01,6.95552192e-01,3.08465923e+00,1.21597971e+00,3.13165421e+00,Inf,3.55202127e+00,-1.37406934e+00,1.97829845e+00,2.95231659e+00,5.78935342e-01,-1.28974418e+00,-1.03773616e+00,-1.10597971e+00,7.72062085e-01,-1.80979824e+00,1.04999728e+03,-1.81219341e+00,-1.88224688e+00,7.76267174e-01,1.69626032e+00,4.82248046e-01,1.40283717e+03,4.87122010e+00,-2.43398542e+00
"2020Q4",1.38145200e+06,1.69040000e+02,2.31400000e+04,1.54439394e+00,2.07919170e+04,2.61092000e+02,9.00000000e-02,4.00000000e+00,2.11743303e+04,1.00000000e+00,1.28507813e+06,1.69150989e+02,5.13079174e+02,5.56487284e+02,5.13013537e+02,0.00000000e+00,1.40663301e+03,9.94231958e+02,9.96054489e+02,1.41386457e+03,1.00493180e+03,1.04833991e+03,9.96003608e-01,2.87519929e+00,9.00207665e-01,0.00000000e+00,2.03273422e+00,4.50855586e+00,1.94229391e+00,2.78470259e+01,-1.25989792e+00,6.19297758e-01,1.42279967e+00,1.23474535e+00,1.36396885e+00,Inf,3.86977184e+00,-9.26493973e-01,1.95698988e+00,4.58435927e+00,-9.50282997e-02,-2.83082621e-01,1.21594268e-01,-1.14474535e+00,7.80301000e-01,-6.58706731e-01,1.05046860e+03,-2.12869224e+00,-1.97303581e+00,8.28290462e-01,1.88529309e+00,7.33746595e-03,1.40405288e+03,4.86284973e+00,-1.80602330e+00
"2021Q1",1.21596600e+06,1.70810000e+02,2.31510000e+04,1.63034483e+00,2.10821340e+04,2.63686000e+02,5.00000000e-02,4.00000000e+00,2.12777032e+04,1.00000000e+00,1.28748581e+06,1.70546242e+02,5.13900647e+02,5.57475900e+02,5.14055183e+02,0.00000000e+00,1.40682019e+03,9.95618123e+02,9.96541500e+02,1.40110494e+03,1.00497933e+03,1.04855458e+03,3.28589224e+00,3.95446627e+00,4.16658174e+00,0.00000000e+00,7.48725890e-01,5.54465861e+00,1.94804358e+00,-5.10385189e+01,1.90101751e-01,8.58675787e-01,3.00129716e-01,1.86338893e+00,2.93152180e-01,Inf,5.07995099e+00,1.78473265e+00,1.94774905e+00,4.73145263e+00,-2.50215834e-01,1.31304338e+00,1.33021511e+00,-1.81338893e+00,8.02558579e-01,5.27656533e-01,1.05098774e+03,-2.43316389e+00,-2.04151622e+00,2.28127284e-01,2.07656237e+00,-1.15252841e+00,1.40527348e+03,4.88239053e+00,-9.19127166e-01
"2021Q2",1.25305700e+06,1.71580000e+02,2.31440000e+04,1.87967742e+00,2.14409290e+04,2.68580000e+02,3.00000000e-02,4.00000000e+00,2.13828983e+04,1.00000000e+00,1.28400815e+06,1.71665693e+02,5.14554894e+02,5.59314882e+02,5.14504963e+02,0.00000000e+00,1.40654971e+03,9.97305694e+02,9.97034674e+02,1.40410967e+03,1.00494908e+03,1.04970907e+03,2.61698641e+00,7.35592793e+00,1.79912100e+00,0.00000000e+00,-1.08191232e+00,6.75028542e+00,1.97269442e+00,1.20189372e+01,-1.20963388e-01,4.61797814e+00,2.61436629e+00,4.68314017e+00,2.63375129e+00,0.00000000e+00,5.97101385e+00,1.16766246e+01,1.94784937e+00,6.34834728e+00,-3.70897911e-01,1.69787597e+00,-7.34688871e-01,-4.65314017e+00,8.38071462e-01,-1.57276033e+00,1.05155393e+03,-1.84485596e+00,-2.08034279e+00,-2.57279738e+00,2.26474645e+00,-2.44167238e+00,1.40650582e+03,4.92936498e+00,2.71388139e-01
"2021Q3",1.21085000e+06,1.72890000e+02,2.31530000e+04,1.90000000e+00,2.16178280e+04,2.72886000e+02,5.00000000e-02,4.00000000e+00,2.14930192e+04,1.00000000e+00,1.21182925e+06,1.72903827e+02,5.15273553e+02,5.60905413e+02,5.15265555e+02,0.00000000e+00,1.40076416e+03,9.98127362e+02,9.97548347e+02,1.40068332e+03,1.00498796e+03,1.05061982e+03,2.87463502e+00,6.36212176e+00,3.04236959e+00,0.00000000e+00,-2.31422239e+01,3.28667166e+00,2.05469268e+00,-1.37054294e+01,1.55517638e-01,3.64300438e+00,2.44337932e+00,5.13692881e+00,2.47707000e+00,0.00000000e+00,-5.36066903e+00,5.02254289e+00,1.97943115e+00,-6.21949628e+00,-2.58810480e-01,2.43473902e+00,-5.43379318e-01,-5.08692881e+00,8.86406072e-01,-1.42978539e+00,1.05216487e+03,-1.54504547e+00,-2.08202762e+00,-3.00490119e+00,2.44376241e+00,-2.98099720e+00,1.40775646e+03,5.00256604e+00,5.80694825e-01
"2021Q4",1.45371600e+06,1.72230000e+02,2.31930000e+04,2.18681818e+00,2.19887370e+04,2.78719000e+02,5.00000000e-02,4.00000000e+00,2.16060808e+04,1.00000000e+00,1.34139688e+06,1.72423087e+02,5.14995126e+02,5.63020411e+02,5.14883079e+02,0.00000000e+00,1.41092221e+03,9.99828565e+02,9.98073007e+02,1.41896336e+03,1.00516058e+03,1.05318586e+03,-1.11370409e+00,8.45999211e+00,-1.52990451e+00,0.00000000e+00,4.06322093e+01,6.80480924e+00,2.09864001e+00,7.31201778e+01,6.90458895e-01,1.02641551e+01,1.91595239e+00,6.53312702e+00,1.86954195e+00,0.00000000e+00,4.28919973e+00,5.59660623e+00,2.01851767e+00,5.09879169e+00,2.28778724e-01,4.84595335e+00,2.70865788e-01,-6.48312702e+00,9.46145858e-01,-6.75280070e-01,1.05281712e+03,3.68743778e-01,-2.04069083e+00,-4.44243619e+00,2.60899810e+00,-2.28379636e+00,1.40903148e+03,5.10009423e+00,1.77105808e+00
"2022Q1",1.28183200e+06,1.74100000e+02,2.31700000e+04,3.05068965e+00,2.19327100e+04,2.84845000e+02,3.00000000e-01,4.00000000e+00,2.17220248e+04,1.00000000e+00,1.36375597e+06,1.73811779e+02,5.15797299e+02,5.65194517e+02,5.15962985e+02,0.00000000e+00,1.41257532e+03,9.99573441e+02,9.98608199e+02,1.40638009e+03,1.00506136e+03,1.05445858e+03,3.20868867e+00,8.69642674e+00,4.31962157e+00,0.00000000e+00,6.61244770e+00,-1.02049517e+00,2.14076873e+00,-5.03330928e+01,-3.96868225e-01,5.09086985e+00,1.89665150e+00,7.71861714e+00,1.90780191e+00,0.00000000e+00,5.75513019e+00,3.95531779e+00,2.06669896e+00,5.27514820e+00,8.20362301e-02,5.90400186e+00,1.15403815e+00,-7.41861714e+00,1.01498065e+00,1.39057499e-01,1.05350627e+03,9.52313508e-01,-1.95233057e+00,-5.46628656e+00,2.75659092e+00,-7.04703266e-01,1.41033634e+03,5.21941447e+00,9.69915107e-01
"2022Q2",1.36033200e+06,1.76660000e+02,2.32130000e+04,3.08590164e+00,2.19670450e+04,2.91651000e+02,1.10000000e+00,4.00000000e+00,2.18405664e+04,0.00000000e+00,1.38925522e+06,1.76742387e+02,5.17469323e+02,5.67555788e+02,5.17422698e+02,-Inf,1.41442784e+03,9.99729865e+02,9.99152436e+02,1.41232393e+03,1.00524677e+03,1.05533324e+03,6.68809820e+00,9.44508371e+00,5.83885382e+00,-Inf,7.41006254e+00,6.25698380e-01,2.17694769e+00,2.37753932e+01,7.41651248e-01,3.49863676e+00,2.91442945e+00,8.24090608e+00,2.91773512e+00,-Inf,7.87812390e+00,2.42417103e+00,2.11776228e+00,8.21426219e+00,2.97689889e-01,5.62416652e+00,1.71472188e-01,-7.14090608e+00,1.09017824e+00,-9.18706054e-01,1.05422813e+03,1.10510701e+00,-1.81572154e+00,-5.32518454e+00,2.88746273e+00,7.77087074e-01,1.41167570e+03,5.35743093e+00,5.79099635e-01
"2022Q3",1.38502200e+06,1.78630000e+02,2.31700000e+04,4.95812500e+00,2.21256250e+04,2.95508000e+02,2.75000000e+00,4.00000000e+00,2.19615351e+04,0.00000000e+00,1.39478419e+06,1.78629410e+02,5.18531332e+02,5.68869591e+02,5.18531663e+02,-Inf,1.41482503e+03,1.00044917e+03,9.99704780e+02,1.41412266e+03,1.00506136e+03,1.05539962e+03,4.24803660e+00,5.25521091e+00,4.43585846e+00,NaN,1.58876428e+00,2.87722533e+00,2.20937395e+00,7.19489455e+00,-7.41651248e-01,2.65523063e-01,3.25777985e+00,7.96417837e+00,3.26610733e+00,-Inf,1.40608710e+01,2.32180945e+00,2.15643259e+00,1.34393432e+01,7.33976675e-02,4.77979619e+00,1.70034515e+00,-5.21417837e+00,1.16909332e+00,5.31251838e-01,1.05497913e+03,4.20489203e-01,-1.63305485e+00,-3.58112351e+00,3.00399431e+00,1.28121328e+00,1.41305334e+03,5.51057743e+00,7.47169628e-01
"2022Q4",1.54468300e+06,1.79830000e+02,2.31520000e+04,9.13907692e+00,2.22783450e+04,2.98498000e+02,4.18000000e+00,4.00000000e+00,2.20849254e+04,0.00000000e+00,1.41402498e+06,1.80055675e+02,5.19326611e+02,5.69876323e+02,5.19201196e+02,-Inf,1.41619508e+03,1.00113704e+03,1.00026505e+03,1.42503293e+03,1.00498364e+03,1.05553336e+03,3.18111417e+00,4.02692936e+00,2.67813309e+00,NaN,5.48021239e+00,2.75147654e+00,2.24109909e+00,4.36410749e+01,-3.10867422e-01,5.34947774e-01,4.33148441e+00,6.85591268e+00,4.31811673e+00,-Inf,5.27287173e+00,1.30847627e+00,2.19204736e+00,6.06956745e+00,-1.76933912e-01,2.34749436e+00,4.80759251e+00,-2.67591268e+00,1.24850638e+00,3.55908613e+00,1.05575637e+03,-2.23010961e-01,-1.40984987e+00,-1.26606281e+00,3.10894843e+00,6.68788947e-01,1.41447207e+03,5.67492082e+00,8.75799383e-01
"2023Q1",1.32613000e+06,1.81380000e+02,2.36090000e+04,8.31482759e+00,2.24396070e+04,3.01192000e+02,4.78000000e+00,4.50000000e+00,2.22082425e+04,0.00000000e+00,1.42096157e+06,1.81066219e+02,5.19886281e+02,5.70774794e+02,5.20059428e+02,-Inf,1.41668444e+03,1.00185828e+03,1.00082188e+03,1.40977755e+03,1.00693833e+03,1.05782684e+03,2.23868166e+00,3.59388100e+00,3.43292714e+00,NaN,1.95742732e+00,2.88497468e+00,2.22729607e+00,-6.10215141e+01,7.81873015e+00,9.17392949e+00,4.08898266e+00,5.58027625e+00,4.09644312e+00,-Inf,4.10911664e+00,2.28484373e+00,2.21367920e+00,3.39746215e+00,1.87696568e+00,3.36825927e+00,4.22584493e+00,-8.00276247e-01,1.32552997e+00,2.90031496e+00,1.05655721e+03,1.26962734e+00,-1.15386415e+00,3.53587901e-01,3.20337630e+00,-4.11644063e-01,1.41593364e+03,5.84627391e+00,1.04179545e+00
"2023Q2",1.41932300e+06,1.80920000e+02,2.36370000e+04,6.10806452e+00,2.25804990e+04,3.03424000e+02,5.27000000e+00,4.50000000e+00,2.23331124e+04,0.00000000e+00,1.44565097e+06,1.80997858e+02,5.19848520e+02,5.71513117e+02,5.19805494e+02,-Inf,1.41840703e+03,1.00248419e+03,1.00138257e+03,1.41656906e+03,1.00705686e+03,1.05872145e+03,-1.51045950e-01,2.95329285e+00,-1.01573336e+00,NaN,6.89036518e+00,2.50363622e+00,2.24277285e+00,2.71660285e+01,4.74114266e-01,3.57845307e+00,2.37919662e+00,3.95732853e+00,2.38279633e+00,NaN,3.97919230e+00,2.75432819e+00,2.23013549e+00,4.24512098e+00,1.81008144e+00,3.38821335e+00,3.72886790e+00,1.31267147e+00,1.39950104e+00,2.32936686e+00,1.05737889e+03,1.34256050e+00,-8.73646540e-01,2.18631801e+00,3.28672041e+00,-1.08617938e+00,1.41743872e+03,6.02031479e+00,1.10771220e+00
"2023Q3",1.45949300e+06,1.83800000e+02,2.40630000e+04,3.99523809e+00,2.28409890e+04,3.06042000e+02,5.54000000e+00,4.50000000e+00,2.24597407e+04,0.00000000e+00,1.47382732e+06,1.83830009e+02,5.21401146e+02,5.72372235e+02,5.21384821e+02,-Inf,1.42033732e+03,1.00363120e+03,1.00194797e+03,1.41935997e+03,1.00884307e+03,1.05981416e+03,6.21050628e+00,3.43647206e+00,6.31730612e+00,NaN,7.72116764e+00,4.58801096e+00,2.26158628e+00,1.11636471e+01,7.14484405e+00,4.37080983e+00,2.86981404e+00,3.50264382e+00,2.85315825e+00,NaN,5.51229314e+00,3.18202460e+00,2.24318857e+00,5.23730911e+00,3.78170526e+00,4.41453504e+00,1.12542406e+00,2.03735618e+00,1.47156926e+00,-3.46145208e-01,1.05821943e+03,1.59472425e+00,-5.77524902e-01,2.61488108e+00,3.36215482e+00,-9.38689348e-01,1.41898689e+03,6.19270876e+00,1.69747427e+00
"2023Q4",1.64913900e+06,1.86190000e+02,2.38830000e+04,3.52938462e+00,2.30337800e+04,3.08158000e+02,5.52000000e+00,4.50000000e+00,2.25881846e+04,0.00000000e+00,1.50092623e+06,1.86401141e+02,5.22790102e+02,5.73061264e+02,5.22676766e+02,-Inf,1.42215930e+03,1.00447171e+03,1.00251822e+03,1.43157639e+03,1.00809222e+03,1.05836338e+03,5.55582433e+00,2.75611641e+00,5.16777911e+00,NaN,7.28790714e+00,3.36205961e+00,2.28102417e+00,4.88656874e+01,-3.00339291e+00,-5.80310084e+00,3.46349158e+00,3.18494058e+00,3.47556975e+00,NaN,5.96421682e+00,3.33467037e+00,2.25316984e+00,6.54346222e+00,3.10857389e+00,2.83002289e+00,6.58930345e-02,2.33505942e+00,1.54434015e+00,-1.47844712e+00,1.05907769e+03,-7.14309937e-01,-2.72460644e-01,2.60752006e+00,3.43303593e+00,-2.58510622e-01,1.42057670e+03,6.35922923e+00,1.97269244e+00
"2024Q1",1.40545600e+06,1.88220000e+02,2.40170000e+04,3.07898305e+00,2.30821190e+04,3.10974000e+02,5.45000000e+00,4.50000000e+00,2.27181300e+04,0.00000000e+00,1.51544122e+06,1.87880373e+02,5.23580545e+02,5.73970931e+02,5.23761149e+02,-Inf,1.42312172e+03,1.00468135e+03,1.00309186e+03,1.41558724e+03,1.00865172e+03,1.05904211e+03,3.16176903e+00,3.63866758e+00,4.33753349e+00,NaN,3.84969085e+00,8.38565766e-01,2.29452812e+00,-6.39566113e+01,2.23800166e+00,2.71490021e+00,3.69426342e+00,3.19613723e+00,3.70172134e+00,NaN,6.43728270e+00,2.82306814e+00,2.26997786e+00,5.80968791e+00,1.71339177e+00,1.21526557e+00,-6.15280372e-01,2.25386277e+00,1.62020287e+00,-2.23548325e+00,1.05995353e+03,-9.11422524e-01,3.62191281e-02,2.21764365e+00,3.50335056e+00,3.05356794e-01,1.42220567e+03,6.51587414e+00,1.60219613e+00
"2024Q2",1.52217900e+06,1.88870000e+02,2.42420000e+04,4.87354839e+00,2.32865080e+04,3.13096000e+02,5.47000000e+00,4.50000000e+00,2.28498700e+04,0.00000000e+00,1.54889781e+06,1.88941277e+02,5.24143627e+02,5.74650985e+02,5.24105895e+02,-Inf,1.42530541e+03,1.00556294e+03,1.00367007e+03,1.42356534e+03,1.00958419e+03,1.06009155e+03,2.25232731e+00,2.72021815e+00,1.37898251e+00,NaN,8.73478365e+00,3.52635542e+00,2.31285757e+00,3.19124223e+01,3.72990125e+00,4.19779209e+00,4.29510674e+00,3.13786855e+00,4.30040031e+00,NaN,6.89838732e+00,3.07874794e+00,2.28749904e+00,6.99628636e+00,2.52733851e+00,1.37010032e+00,5.78441649e-01,2.33213145e+00,1.70062258e+00,-1.12218093e+00,1.06084636e+03,-7.54802732e-01,3.44817005e-01,1.98731445e+00,3.57131292e+00,3.38098129e-01,1.42387041e+03,6.65897428e+00,1.91089927e+00
"2024Q3",1.56792300e+06,1.90190000e+02,2.42120000e+04,5.08625000e+00,2.34785700e+04,3.14183000e+02,5.22000000e+00,4.50000000e+00,2.29813200e+04,0.00000000e+00,1.58300632e+06,1.90302363e+02,5.24861419e+02,5.74997562e+02,5.24802357e+02,-Inf,1.42748363e+03,1.00638434e+03,1.00424370e+03,1.42652624e+03,1.00946037e+03,1.05959651e+03,2.87116975e+00,1.38630637e+00,2.78584991e+00,NaN,8.71287245e+00,3.28558126e+00,2.29451359e+00,1.18435811e+01,-4.95315208e-01,-1.98017860e+00,3.46027261e+00,2.62532713e+00,3.41753626e+00,NaN,7.14631352e+00,2.75314051e+00,2.29573086e+00,7.16626984e+00,6.17298698e-01,-2.17646784e-01,1.62597739e+00,2.59467287e+00,1.78566724e+00,-1.59689846e-01,1.06175502e+03,-2.15850850e+00,6.51021606e-01,1.94365127e+00,3.63464446e+00,-1.93967610e-02,1.42556674e+03,6.78529050e+00,2.16371383e+00
"2024Q4",1.77365200e+06,1.91530000e+02,2.42640000e+04,4.97696970e+00,2.35865420e+04,3.16539000e+02,4.58000000e+00,4.50000000e+00,2.31133400e+04,0.00000000e+00,1.60960750e+06,1.91679811e+02,5.25582633e+02,5.75744646e+02,5.25504445e+02,-Inf,1.42915009e+03,1.00684316e+03,1.00481652e+03,1.43885513e+03,1.00967490e+03,1.05983692e+03,2.88485509e+00,2.98833522e+00,2.80835273e+00,NaN,6.66583603e+00,1.83528197e+00,2.29129120e+00,4.93155537e+01,8.58156943e-01,9.61637075e-01,2.79253030e+00,2.68338183e+00,2.82767966e+00,NaN,6.99079574e+00,2.37144610e+00,2.29829762e+00,7.27873643e+00,1.58268616e+00,1.47353769e+00,2.18443940e+00,1.89661817e+00,1.87470345e+00,3.09735950e-01,1.06267788e+03,-2.84096377e+00,9.53763622e-01,9.42854550e-01,3.69145818e+00,-2.62818952e-01,1.42728976e+03,6.89209703e+00,2.04731121e+00
"2025Q1",1.50280700e+06,1.94280000e+02,2.55850000e+04,5.14568965e+00,2.35482100e+04,3.19615000e+02,4.34000000e+00,4.50000000e+00,2.32432200e+04,0.00000000e+00,1.62688030e+06,1.93915581e+02,5.26742292e+02,5.76711715e+02,5.26930042e+02,-Inf,1.43021748e+03,1.00668051e+03,1.00537688e+03,1.42228453e+03,1.01497615e+03,1.06494558e+03,4.63863550e+00,3.86827589e+00,5.70238527e+00,NaN,4.26955735e+00,-6.50594423e-01,2.24141463e+00,-6.62824020e+01,2.12049887e+01,2.04346291e+01,3.16174691e+00,2.74078391e+00,3.16889260e+00,NaN,7.09576237e+00,1.99915606e+00,2.28501925e+00,6.69728874e+00,6.32443293e+00,5.90346993e+00,1.98394274e+00,1.59921609e+00,1.96699802e+00,1.69447266e-02,1.06361197e+03,1.33360406e+00,1.25318853e+00,3.46027568e-01,3.73635780e+00,-1.24066509e-02,1.42903407e+03,6.97724852e+00,1.31216759e+00
"2025Q2",1.64686700e+06,1.95612659e+02,2.63310000e+04,4.73580645e+00,2.37709760e+04,3.21500000e+02,4.37000000e+00,4.50000000e+00,2.33760700e+04,0.00000000e+00,1.67467987e+06,1.95698036e+02,5.27657284e+02,5.77299754e+02,5.27613647e+02,-Inf,1.43311326e+03,1.00762206e+03,1.00594681e+03,1.43143853e+03,1.01785022e+03,1.06749269e+03,3.65996917e+00,2.35215889e+00,2.73442274e+00,NaN,1.15831090e+01,3.76621264e+00,2.27974917e+00,3.66160009e+01,1.14962840e+01,1.01884737e+01,3.51365738e+00,2.64876909e+00,3.50775266e+00,NaN,7.80784371e+00,2.05912036e+00,2.27674215e+00,7.87318341e+00,8.26602862e+00,7.40114034e+00,1.22214907e+00,1.72123091e+00,2.06201132e+00,-8.39862243e-01,1.06455253e+03,2.94016226e+00,1.55003107e+00,1.71199836e-01,3.76224092e+00,6.52938160e-01,1.43079388e+03,7.03922912e+00,1.68936010e+00
"2025Q3",1.69689200e+06,1.96409213e+02,2.63695000e+04,5.27000000e+00,2.40185771e+04,3.24368000e+02,4.26000000e+00,4.50000000e+00,2.35101800e+04,0.00000000e+00,1.71235523e+06,1.96572504e+02,5.28103134e+02,5.78187867e+02,5.28020030e+02,-Inf,1.43533803e+03,1.00865829e+03,1.00651888e+03,1.43443089e+03,1.01799633e+03,1.06808106e+03,1.78340138e+00,3.55245202e+00,1.62553195e+00,NaN,8.89908951e+00,4.14489460e+00,2.28826772e+00,1.19694590e+01,5.84434787e-01,2.35348543e+00,3.24171528e+00,3.19030550e+00,3.21767317e+00,NaN,7.85439797e+00,2.27394870e+00,2.27518068e+00,7.90465289e+00,8.53596612e+00,8.48455634e+00,2.02828472e+00,1.06969450e+00,2.15921433e+00,-1.30929614e-01,1.06549564e+03,2.58542323e+00,1.84524229e+00,-7.75547796e-01,3.77244154e+00,1.28844319e+00,1.43256318e+03,7.07718229e+00,2.16245520e+00
"2025Q4",1.92370296e+06,1.98118632e+02,2.63000000e+04,7.43000000e+00,2.37368343e+04,3.25031000e+02,3.87000000e+00,4.50000000e+00,2.36446300e+04,0.00000000e+00,1.74480063e+06,1.98220186e+02,5.28937846e+02,5.78392056e+02,5.28886600e+02,-Inf,1.43721509e+03,1.00747833e+03,1.00708913e+03,1.44697625e+03,1.01773242e+03,1.06718663e+03,3.33884736e+00,8.16755468e-01,3.46627944e+00,NaN,7.50821974e+00,-4.71981877e+00,2.28100360e+00,5.01814442e+01,-1.05564002e+00,-3.57773192e+00,3.35521335e+00,2.64741057e+00,3.38215485e+00,NaN,8.06499390e+00,6.35173511e-01,2.27260878e+00,8.12112553e+00,8.05751688e+00,7.34971409e+00,4.07478665e+00,1.22258943e+00,2.25755312e+00,1.81723353e+00,1.06643922e+03,7.47412734e-01,2.13988020e+00,-9.17290769e-01,3.77431008e+00,1.48101519e+00,1.43433591e+03,7.09092075e+00,3.89958608e-01